      S          PHI         IOTA        SHEAR        VP         WELL        ITOR       ITOR'       PRES       PRES'
  6.5000E-01  2.5622E-02  1.0712E+00  1.8327E-01  8.9453E+00  7.5695E-01 -2.8271E-17 -8.0177E-14  0.0000E+00  0.0000E+00
  6.5500E-01  2.5819E-02  1.0715E+00  1.8433E-01  8.9452E+00  7.4183E-01 -2.4098E-17  8.4911E-14  0.0000E+00  0.0000E+00
  6.6000E-01  2.6016E-02  1.0719E+00  1.8541E-01  8.9450E+00  7.2668E-01  6.3269E-17  1.4200E-14  0.0000E+00  0.0000E+00
  6.6500E-01  2.6213E-02  1.0722E+00  1.8643E-01  8.9449E+00  7.1176E-01  7.5701E-17 -9.6603E-17  0.0000E+00  0.0000E+00
  6.7000E-01  2.6410E-02  1.0725E+00  1.8747E-01  8.9448E+00  6.9685E-01  5.6031E-17 -2.2219E-14  0.0000E+00  0.0000E+00
  6.7500E-01  2.6607E-02  1.0728E+00  1.8851E-01  8.9446E+00  6.8175E-01  1.0814E-17 -2.9078E-14  0.0000E+00  0.0000E+00
  6.8000E-01  2.6804E-02  1.0732E+00  1.8955E-01  8.9445E+00  6.6660E-01 -4.6238E-17 -3.5648E-14  0.0000E+00  0.0000E+00
  6.8500E-01  2.7001E-02  1.0735E+00  1.9055E-01  8.9444E+00  6.5168E-01  3.9341E-17  1.3274E-13  0.0000E+00  0.0000E+00
  6.9000E-01  2.7198E-02  1.0738E+00  1.9157E-01  8.9442E+00  6.3680E-01  5.5094E-17 -1.1487E-13  0.0000E+00  0.0000E+00
  6.9500E-01  2.7396E-02  1.0742E+00  1.9259E-01  8.9441E+00  6.2175E-01 -6.5738E-17 -2.2221E-14  0.0000E+00  0.0000E+00
  7.0000E-01  2.7593E-02  1.0745E+00  1.9361E-01  8.9440E+00  6.0662E-01 -5.1432E-17  3.8452E-14  0.0000E+00  0.0000E+00
  7.0500E-01  2.7790E-02  1.0749E+00  1.9459E-01  8.9439E+00  5.9174E-01 -4.7941E-17 -3.4491E-14  0.0000E+00  0.0000E+00
  7.1000E-01  2.7987E-02  1.0752E+00  1.9559E-01  8.9437E+00  5.7690E-01 -7.4509E-17  4.3477E-15  0.0000E+00  0.0000E+00
  7.1500E-01  2.8184E-02  1.0756E+00  1.9659E-01  8.9436E+00  5.6181E-01 -4.0959E-17  3.3719E-14  0.0000E+00  0.0000E+00
  7.2000E-01  2.8381E-02  1.0759E+00  1.9759E-01  8.9435E+00  5.4667E-01  9.7074E-18  2.3768E-14  0.0000E+00  0.0000E+00
  7.2500E-01  2.8578E-02  1.0763E+00  1.9855E-01  8.9434E+00  5.3177E-01  6.5994E-17  4.0097E-14  0.0000E+00  0.0000E+00
  7.3000E-01  2.8775E-02  1.0766E+00  1.9954E-01  8.9433E+00  5.1690E-01  8.2258E-17 -2.1643E-14  0.0000E+00  0.0000E+00
